,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.6391,-120.4579,69.8,76,21,8.79,few clouds
1,Busselton,AU,-33.65,115.3333,63.0,68,0,5.99,clear sky
2,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,11.5,light snow
3,Stornoway,GB,58.2093,-6.3865,44.6,81,75,25.32,broken clouds
4,Saskylakh,RU,71.9167,114.0833,-11.79,89,100,8.28,overcast clouds
5,Port Lincoln,AU,-34.7333,135.8667,60.78,75,85,7.65,overcast clouds
6,Los Llanos de Aridane,ES,28.6585,-17.9182,68.0,64,20,9.22,few clouds
7,Saint Paul Harbor,US,57.79,-152.4072,39.2,93,90,33.38,moderate rain
8,Phan Thiet,VN,10.9333,108.1,70.09,86,99,7.38,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,60.8,59,90,20.71,overcast clouds
10,Komsomolets,KZ,53.7453,62.0708,21.45,94,38,13.56,scattered clouds
11,Sheksna,RU,59.21,38.5107,-7.6,77,0,8.95,clear sky
12,Flin Flon,CA,54.7682,-101.865,14.0,92,75,5.75,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,48.99,67,38,1.99,scattered clouds
14,Bengkulu,ID,-3.8004,102.2655,77.94,80,100,3.49,overcast clouds
15,Mar del Plata,AR,-38.0023,-57.5575,69.8,94,75,8.05,broken clouds
16,Hilo,US,19.7297,-155.09,68.0,73,90,6.91,overcast clouds
17,Butaritari,KI,3.0707,172.7902,80.65,79,52,20.92,broken clouds
18,Port Blair,IN,11.6667,92.75,77.74,76,59,8.84,broken clouds
19,Ushuaia,AR,-54.8,-68.3,60.8,63,40,8.05,scattered clouds
20,Rocha,UY,-34.4833,-54.3333,83.95,56,48,12.71,scattered clouds
21,Albany,US,42.6001,-73.9662,36.0,89,100,3.47,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,10.4,52,1,3.44,clear sky
23,Rikitea,PF,-23.1203,-134.9692,77.63,71,31,3.49,light rain
24,Esperance,AU,-33.8667,121.9,55.4,71,0,10.36,clear sky
25,Itarema,BR,-2.9248,-39.9167,88.32,54,27,16.31,scattered clouds
26,Lavrentiya,RU,65.5833,-171.0,-5.4,87,100,8.3,overcast clouds
27,Honiara,SB,-9.4333,159.95,77.22,80,100,2.26,overcast clouds
28,Alice Springs,AU,-23.7,133.8833,69.8,46,90,8.05,overcast clouds
29,Maturin,VE,9.75,-63.1767,85.05,55,36,8.79,scattered clouds
30,Barrow,US,71.2906,-156.7887,-2.2,78,90,18.41,haze
31,Mount Gambier,AU,-37.8333,140.7667,50.0,93,90,5.75,overcast clouds
32,Khatanga,RU,71.9667,102.5,-26.01,86,95,4.5,overcast clouds
33,Upernavik,GL,72.7868,-56.1549,11.53,92,13,4.36,few clouds
34,Caniço,PT,32.6333,-16.85,64.4,52,40,10.36,scattered clouds
35,Portland,US,45.5234,-122.6762,43.0,81,90,6.91,overcast clouds
36,Hirara,JP,24.8,125.2833,64.94,81,94,30.36,overcast clouds
37,Faanui,PF,-16.4833,-151.75,81.23,73,10,11.01,clear sky
38,Ribeira Grande,PT,38.5167,-28.7,62.6,82,40,8.05,scattered clouds
39,Hong Kong,HK,22.2855,114.1577,62.01,76,99,3.0,overcast clouds
40,Kahului,US,20.8947,-156.47,72.0,72,20,5.75,few clouds
41,Arraial do Cabo,BR,-22.9661,-42.0278,87.8,58,40,20.71,scattered clouds
42,Cherskiy,RU,68.75,161.3,-20.74,87,100,4.41,overcast clouds
43,Sterling,US,39.0062,-77.4286,42.01,65,90,11.5,overcast clouds
44,Pisco,PE,-13.7,-76.2167,73.4,73,0,9.22,clear sky
45,Ternate,ID,0.8,127.4,78.64,84,100,2.59,light rain
46,Kavieng,PG,-2.5744,150.7967,82.99,80,93,16.64,overcast clouds
